bowler,overs,maiden,runs,wickets,NB,wide,eco
Prasidh Krishna,4,0,41,0,0,1,10.25
Lockie Ferguson,4,0,40,1,0,2,10.0
Andre Russell,3,0,21,2,0,0,7.0
Kuldeep Yadav,4,0,30,0,0,2,7.5
Sunil Narine,2,0,26,0,0,0,13.0
Piyush Chawla,3,0,27,1,0,0,9.0
